REQUEST_ID,STAFF_ID
REQ000001,STA008
REQ000002,STA016
REQ000003,STA012
REQ000004,STA007
REQ000005,STA007
REQ000006,STA018
REQ000007,STA018
REQ000008,STA005
REQ000009,STA001
REQ000010,STA018
REQ000011,STA010
REQ000012,STA012
REQ000013,STA003
REQ000014,STA009
REQ000015,STA009
REQ000016,STA019
REQ000017,STA018
REQ000018,STA019
REQ000019,STA004
REQ000020,STA011
REQ000021,STA018
REQ000022,STA001
REQ000023,STA013
REQ000024,STA016
REQ000025,STA018
REQ000026,STA008
REQ000027,STA018
REQ000028,STA008
REQ000029,STA007
REQ000030,STA010
REQ000031,STA019
REQ000032,STA003
REQ000033,STA014
REQ000034,STA013
REQ000035,STA005
REQ000036,STA010
REQ000037,STA005
REQ000038,STA015
REQ000039,STA018
REQ000040,STA002
REQ000041,STA011
REQ000042,STA007
REQ000043,STA004
REQ000044,STA019
REQ000045,STA015
REQ000046,STA008
REQ000047,STA012
REQ000048,STA004
REQ000049,STA016
REQ000050,STA017
REQ000051,STA004
REQ000052,STA014
REQ000053,STA015
REQ000054,STA018
REQ000055,STA012
REQ000056,STA018
REQ000057,STA003
REQ000058,STA006
REQ000059,STA013
REQ000060,STA003
REQ000061,STA014
REQ000062,STA004
REQ000063,STA018
REQ000064,STA003
REQ000065,STA011
REQ000066,STA011
REQ000067,STA014
REQ000068,STA009
REQ000069,STA016
REQ000070,STA005
REQ000071,STA006
REQ000072,STA017
REQ000073,STA005
REQ000074,STA005
REQ000075,STA011
REQ000076,STA019
REQ000077,STA005
REQ000078,STA001
REQ000079,STA005
REQ000080,STA010
REQ000081,STA013
REQ000082,STA002
REQ000083,STA014
REQ000084,STA006
REQ000085,STA012
REQ000086,STA009
REQ000087,STA014
REQ000088,STA004
REQ000089,STA005
REQ000090,STA012
REQ000091,STA013
REQ000092,STA004
REQ000093,STA013
REQ000094,STA019
REQ000095,STA003
REQ000096,STA011
REQ000097,STA011
REQ000098,STA016
REQ000099,STA013
REQ000100,STA011
REQ000101,STA012
REQ000102,STA004
REQ000103,STA009
REQ000104,STA019
REQ000105,STA017
REQ000106,STA019
REQ000107,STA007
REQ000108,STA003
REQ000109,STA011
REQ000110,STA012
REQ000111,STA017
REQ000112,STA016
REQ000113,STA020
REQ000114,STA004
REQ000115,STA012
REQ000116,STA004
REQ000117,STA020
REQ000118,STA007
REQ000119,STA008
REQ000120,STA004
REQ000121,STA002
REQ000122,STA012
REQ000123,STA011
REQ000124,STA004
REQ000125,STA019
REQ000126,STA014
REQ000127,STA011
REQ000128,STA002
REQ000129,STA008
REQ000130,STA019
REQ000131,STA015
REQ000132,STA001
REQ000133,STA006
REQ000134,STA008
REQ000135,STA010
REQ000136,STA018
REQ000137,STA006
REQ000138,STA013
REQ000139,STA012
REQ000140,STA013
REQ000141,STA014
REQ000142,STA017
REQ000143,STA020
REQ000144,STA005
REQ000145,STA014
REQ000146,STA005
REQ000147,STA019
REQ000148,STA016
REQ000149,STA010
REQ000150,STA012
REQ000151,STA007
REQ000152,STA019
REQ000153,STA016
REQ000154,STA001
REQ000155,STA002
REQ000156,STA017
REQ000157,STA006
REQ000158,STA010
REQ000159,STA012
REQ000160,STA003
REQ000161,STA003
REQ000162,STA014
REQ000163,STA006
REQ000164,STA014
REQ000165,STA007
REQ000166,STA019
REQ000167,STA004
REQ000168,STA010
REQ000169,STA004
REQ000170,STA020
REQ000171,STA014
REQ000172,STA019
REQ000173,STA013
REQ000174,STA018
REQ000175,STA019
REQ000176,STA019
REQ000177,STA008
REQ000178,STA004
REQ000179,STA005
REQ000180,STA005
REQ000181,STA004
REQ000182,STA009
REQ000183,STA016
REQ000184,STA008
REQ000185,STA002
REQ000186,STA016
REQ000187,STA003
REQ000188,STA001
REQ000189,STA002
REQ000190,STA009
REQ000191,STA007
REQ000192,STA017
REQ000193,STA012
REQ000194,STA020
REQ000195,STA005
REQ000196,STA003
REQ000197,STA014
REQ000198,STA008
REQ000199,STA005
REQ000200,STA013
REQ000201,STA013
REQ000202,STA017
REQ000203,STA004
REQ000204,STA001
REQ000205,STA015
REQ000206,STA007
REQ000207,STA010
REQ000208,STA006
REQ000209,STA005
REQ000210,STA013
REQ000211,STA010
REQ000212,STA004
REQ000213,STA011
REQ000214,STA017
REQ000215,STA010
REQ000216,STA018
REQ000217,STA003
REQ000218,STA018
REQ000219,STA018
REQ000220,STA001
REQ000221,STA010
REQ000222,STA008
REQ000223,STA009
REQ000224,STA008
REQ000225,STA011
REQ000226,STA003
REQ000227,STA003
REQ000228,STA004
REQ000229,STA010
REQ000230,STA009
REQ000231,STA008
REQ000232,STA017
REQ000233,STA016
REQ000234,STA004
REQ000235,STA009
REQ000236,STA009
REQ000237,STA019
REQ000238,STA019
REQ000239,STA015
REQ000240,STA001
REQ000241,STA015
REQ000242,STA004
REQ000243,STA005
REQ000244,STA002
REQ000245,STA001
REQ000246,STA007
REQ000247,STA011
REQ000248,STA012
REQ000249,STA001
REQ000250,STA005
REQ000251,STA008
REQ000252,STA013
REQ000253,STA010
